palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Woolen Oat","A soft warm off-white for primary backgrounds.","woolen-oat-1","#d9cebd","Hex: #d9cebd","RGB: 217, 206, 189","HSL: 36, 26%, 80%","HSB: 36, 13%, 85%","CSS: rgb(217, 206, 189)","Darkest oat shade"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Woolen Oat","A soft warm off-white for primary backgrounds.","woolen-oat-2","#ede5d8","Hex: #ede5d8","RGB: 237, 229, 216","HSL: 37, 39%, 89%","HSB: 37, 9%, 93%","CSS: rgb(237, 229, 216)","Warm oat"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Woolen Oat","A soft warm off-white for primary backgrounds.","woolen-oat-3","#f7f1e6","Hex: #f7f1e6","RGB: 247, 241, 230","HSL: 39, 52%, 94%","HSB: 39, 7%, 97%","CSS: rgb(247, 241, 230)","Base color"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Woolen Oat","A soft warm off-white for primary backgrounds.","woolen-oat-4","#ffffff","Hex: #ffffff","RGB: 255, 255, 255","HSL: 0, 0%, 100%","HSB: 0, 0%, 100%","CSS: rgb(255, 255, 255)","Pure white"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Woolen Oat","A soft warm off-white for primary backgrounds.","woolen-oat-5","#faf9f7","Hex: #faf9f7","RGB: 250, 249, 247","HSL: 40, 20%, 97%","HSB: 40, 1%, 98%","CSS: rgb(250, 249, 247)","Soft highlight"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Spiced Cider","A muted dusty orange for secondary headings and accents.","spiced-cider-1","#9e5b32","Hex: #9e5b32","RGB: 158, 91, 50","HSL: 23, 52%, 41%","HSB: 23, 68%, 62%","CSS: rgb(158, 91, 50)","Deep cider"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Spiced Cider","A muted dusty orange for secondary headings and accents.","spiced-cider-2","#c4713e","Hex: #c4713e","RGB: 196, 113, 62","HSL: 23, 53%, 51%","HSB: 23, 68%, 77%","CSS: rgb(196, 113, 62)","Warm cider"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Spiced Cider","A muted dusty orange for secondary headings and accents.","spiced-cider-3","#e08c5e","Hex: #e08c5e","RGB: 224, 140, 94","HSL: 21, 67%, 62%","HSB: 21, 58%, 88%","CSS: rgb(224, 140, 94)","Base color"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Spiced Cider","A muted dusty orange for secondary headings and accents.","spiced-cider-4","#ebb391","Hex: #ebb391","RGB: 235, 179, 145","HSL: 23, 70%, 75%","HSB: 23, 38%, 92%","CSS: rgb(235, 179, 145)","Light cider"
"Autumn Hearth","The Essence of Comfort and Glow","This palette captures the warmth of a flickering fireplace and organic textures. It is best suited for interior design, boutique roasteries, and wellness brands seeking an inviting, premium aesthetic.","Spiced Cider","A muted dusty orange for secondary headings and accents.","spiced-cider-5","#f5d9c9","Hex: #f5d9c9","RGB: 245, 217, 201","HSL: 22, 71%, 87%","HSB: 22, 18%, 96%","CSS: rgb(245, 217, 201)","Softest cider"
