"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Spiced Pumpkin","A rich, autumnal orange used for primary actions and highlights.","spiced-pumpkin-1","#F9E6D8","Hex: #F9E6D8","RGB: 249, 230, 216","HSL: 25, 71, 91","HSB: 25, 13, 98","CSS: rgb(249, 230, 216)","Lightest tint"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Spiced Pumpkin","A rich, autumnal orange used for primary actions and highlights.","spiced-pumpkin-2","#E6A16D","Hex: #E6A16D","RGB: 230, 161, 109","HSL: 26, 72, 66","HSB: 26, 53, 90","CSS: rgb(230, 161, 109)","Lighter tint"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Spiced Pumpkin","A rich, autumnal orange used for primary actions and highlights.","spiced-pumpkin-3","#B3591B","Hex: #B3591B","RGB: 179, 89, 27","HSL: 25, 74, 40","HSB: 25, 85, 70","CSS: rgb(179, 89, 27)","Base Color"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Spiced Pumpkin","A rich, autumnal orange used for primary actions and highlights.","spiced-pumpkin-4","#8A4315","Hex: #8A4315","RGB: 138, 67, 21","HSL: 24, 74, 31","HSB: 24, 85, 54","CSS: rgb(138, 67, 21)","Darker shade"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Spiced Pumpkin","A rich, autumnal orange used for primary actions and highlights.","spiced-pumpkin-5","#5C2D0E","Hex: #5C2D0E","RGB: 92, 45, 14","HSL: 24, 74, 21","HSB: 24, 85, 36","CSS: rgb(92, 45, 14)","Darkest shade"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Creamy Beige","A soft, sophisticated neutral ideal for backgrounds.","creamy-beige-1","#FAF7F2","Hex: #FAF7F2","RGB: 250, 247, 242","HSL: 38, 44, 96","HSB: 38, 3, 98","CSS: rgb(250, 247, 242)","Lightest tint"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Creamy Beige","A soft, sophisticated neutral ideal for backgrounds.","creamy-beige-2","#EDE3D1","Hex: #EDE3D1","RGB: 237, 227, 209","HSL: 39, 46, 87","HSB: 39, 12, 93","CSS: rgb(237, 227, 209)","Lighter tint"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Creamy Beige","A soft, sophisticated neutral ideal for backgrounds.","creamy-beige-3","#DBC9A9","Hex: #DBC9A9","RGB: 219, 201, 169","HSL: 38, 41, 76","HSB: 38, 23, 86","CSS: rgb(219, 201, 169)","Base Color"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Creamy Beige","A soft, sophisticated neutral ideal for backgrounds.","creamy-beige-4","#B09A75","Hex: #B09A75","RGB: 176, 154, 117","HSL: 38, 27, 57","HSB: 38, 34, 69","CSS: rgb(176, 154, 117)","Darker shade"
"Artisan Estate","A Sophisticated & Timeless Heritage Palette","This palette evokes history, craftsmanship, and luxury. Best for heritage brands, distilleries, and luxury leather goods.","Creamy Beige","A soft, sophisticated neutral ideal for backgrounds.","creamy-beige-5","#7D6C52","Hex: #7D6C52","RGB: 125, 108, 82","HSL: 36, 21, 41","HSB: 36, 34, 49","CSS: rgb(125, 108, 82)","Darkest shade"
