"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Roasted Umber","Deep grounding brown for primary brand elements.","roasted-umber-1","#5C3A21","Hex: #5C3A21","RGB: 92, 58, 33","HSL: 25°, 47%, 25%","HSB: 25°, 64%, 36%","CSS: rgb(92, 58, 33)","Lightest shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Roasted Umber","Deep grounding brown for primary brand elements.","roasted-umber-2","#4D311C","Hex: #4D311C","RGB: 77, 49, 28","HSL: 26°, 47%, 21%","HSB: 26°, 64%, 30%","CSS: rgb(77, 49, 28)","Medium light shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Roasted Umber","Deep grounding brown for primary brand elements.","roasted-umber-3","#3E2717","Hex: #3E2717","RGB: 62, 39, 23","HSL: 25°, 46%, 17%","HSB: 25°, 63%, 24%","CSS: rgb(62, 39, 23)","Base color"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Roasted Umber","Deep grounding brown for primary brand elements.","roasted-umber-4","#2F1D11","Hex: #2F1D11","RGB: 47, 29, 17","HSL: 24°, 47%, 13%","HSB: 24°, 64%, 18%","CSS: rgb(47, 29, 17)","Medium dark shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Roasted Umber","Deep grounding brown for primary brand elements.","roasted-umber-5","#1F140C","Hex: #1F140C","RGB: 31, 20, 12","HSL: 25°, 44%, 8%","HSB: 25°, 61%, 12%","CSS: rgb(31, 20, 12)","Darkest shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Honeyed Amber","Vibrant yet earthy yellow for highlights.","honeyed-amber-1","#E8B459","Hex: #E8B459","RGB: 232, 180, 89","HSL: 38°, 75%, 63%","HSB: 38°, 62%, 91%","CSS: rgb(232, 180, 89)","Lightest shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Honeyed Amber","Vibrant yet earthy yellow for highlights.","honeyed-amber-2","#DB9F3A","Hex: #DB9F3A","RGB: 219, 159, 58","HSL: 38°, 70%, 54%","HSB: 38°, 74%, 86%","CSS: rgb(219, 159, 58)","Medium light shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Honeyed Amber","Vibrant yet earthy yellow for highlights.","honeyed-amber-3","#D18C26","Hex: #D18C26","RGB: 209, 140, 38","HSL: 36°, 69%, 48%","HSB: 36°, 82%, 82%","CSS: rgb(209, 140, 38)","Base color"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Honeyed Amber","Vibrant yet earthy yellow for highlights.","honeyed-amber-4","#B07620","Hex: #B07620","RGB: 176, 118, 32","HSL: 36°, 69%, 41%","HSB: 36°, 82%, 69%","CSS: rgb(176, 118, 32)","Medium dark shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Honeyed Amber","Vibrant yet earthy yellow for highlights.","honeyed-amber-5","#8F601A","Hex: #8F601A","RGB: 143, 96, 26","HSL: 36°, 69%, 33%","HSB: 36°, 82%, 56%","CSS: rgb(143, 96, 26)","Darkest shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Spiced Chai","Muted warm terracotta/rose tone.","spiced-chai-1","#BC8E7A","Hex: #BC8E7A","RGB: 188, 142, 122","HSL: 18°, 33%, 61%","HSB: 18°, 35%, 74%","CSS: rgb(188, 142, 122)","Lightest shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Spiced Chai","Muted warm terracotta/rose tone.","spiced-chai-2","#AF7962","Hex: #AF7962","RGB: 175, 121, 98","HSL: 18°, 33%, 54%","HSB: 18°, 44%, 69%","CSS: rgb(175, 121, 98)","Medium light shade"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Spiced Chai","Muted warm terracotta/rose tone.","spiced-chai-3","#A3644A","Hex: #A3644A","RGB: 163, 100, 74","HSL: 18°, 38%, 46%","HSB: 18°, 55%, 64%","CSS: rgb(163, 100, 74)","Base color"
"Hearth & Harvest","Comforting Tones for Artisanal Spaces","A cozy and warm palette suited for artisanal coffee shops, bakeries, and interior design firms. Focuses on earthy comfort and luxury.","Spiced Chai","Muted warm terracotta/rose tone.","spiced-chai-4","#8A553E","Hex: #8A553E","RGB: 138, 85, 62","HSL: 18°, 38%, 39%","HSB: 18°, 55%, 54%","CSS: rgb(138, 85, 62)","Medium dark shade"
