palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Playful Red","Energetic accent for CTAs","playful-red-1","#FFD1D1","Hex: #FFD1D1","RGB: 255, 209, 209","HSL: 0, 100%, 91%","HSB: 0, 18%, 100%","CSS: rgb(255, 209, 209)","Tint"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Playful Red","Energetic accent for CTAs","playful-red-2","#FF7070","Hex: #FF7070","RGB: 255, 112, 112","HSL: 0, 100%, 72%","HSB: 0, 56%, 100%","CSS: rgb(255, 112, 112)","Light"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Playful Red","Energetic accent for CTAs","playful-red-3","#C62828","Hex: #C62828","RGB: 198, 40, 40","HSL: 0, 66%, 47%","HSB: 0, 80%, 78%","CSS: rgb(198, 40, 40)","Base"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Playful Red","Energetic accent for CTAs","playful-red-4","#8E1C1C","Hex: #8E1C1C","RGB: 142, 28, 28","HSL: 0, 67%, 33%","HSB: 0, 80%, 56%","CSS: rgb(142, 28, 28)","Dark"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Playful Red","Energetic accent for CTAs","playful-red-5","#560F0F","Hex: #560F0F","RGB: 86, 15, 15","HSL: 0, 70%, 20%","HSB: 0, 83%, 34%","CSS: rgb(86, 15, 15)","Deep"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Sunny Gold","Highlights and ratings","sunny-gold-1","#FFF4C2","Hex: #FFF4C2","RGB: 255, 244, 194","HSL: 49, 100%, 88%","HSB: 49, 24%, 100%","CSS: rgb(255, 244, 194)","Tint"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Sunny Gold","Highlights and ratings","sunny-gold-2","#FFE052","Hex: #FFE052","RGB: 255, 224, 82","HSL: 49, 100%, 66%","HSB: 49, 68%, 100%","CSS: rgb(255, 224, 82)","Light"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Sunny Gold","Highlights and ratings","sunny-gold-3","#F9C80E","Hex: #F9C80E","RGB: 249, 200, 14","HSL: 47, 95%, 52%","HSB: 47, 94%, 98%","CSS: rgb(249, 200, 14)","Base"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Sunny Gold","Highlights and ratings","sunny-gold-4","#C29B0B","Hex: #C29B0B","RGB: 194, 155, 11","HSL: 47, 89%, 40%","HSB: 47, 94%, 76%","CSS: rgb(194, 155, 11)","Dark"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Sunny Gold","Highlights and ratings","sunny-gold-5","#8B6E08","Hex: #8B6E08","RGB: 139, 110, 8","HSL: 47, 89%, 29%","HSB: 47, 94%, 55%","CSS: rgb(139, 110, 8)","Deep"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Warm Biscuit","Background surface color","warm-biscuit-1","#FFFFFF","Hex: #FFFFFF","RGB: 255, 255, 255","HSL: 0, 0%, 100%","HSB: 0, 0%, 100%","CSS: rgb(255, 255, 255)","Tint"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Warm Biscuit","Background surface color","warm-biscuit-2","#FAF7F0","Hex: #FAF7F0","RGB: 250, 247, 240","HSL: 42, 41%, 96%","HSB: 42, 4%, 98%","CSS: rgb(250, 247, 240)","Light"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Warm Biscuit","Background surface color","warm-biscuit-3","#F2EBD9","Hex: #F2EBD9","RGB: 242, 235, 217","HSL: 43, 50%, 90%","HSB: 43, 10%, 95% ","CSS: rgb(242, 235, 217)","Base"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Warm Biscuit","Background surface color","warm-biscuit-4","#E0D4B8","Hex: #E0D4B8","RGB: 224, 212, 184","HSL: 42, 40%, 80%","HSB: 42, 18%, 88%","CSS: rgb(224, 212, 184)","Dark"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Warm Biscuit","Background surface color","warm-biscuit-5","#C9B891","Hex: #C9B891","RGB: 201, 184, 145","HSL: 42, 34%, 68%","HSB: 42, 28%, 79%","CSS: rgb(201, 184, 145)","Deep"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Midnight Navy","Typography and structure","midnight-navy-1","#D1D8E0","Hex: #D1D8E0","RGB: 209, 216, 224","HSL: 212, 20%, 85%","HSB: 212, 7%, 88%","CSS: rgb(209, 216, 224)","Tint"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Midnight Navy","Typography and structure","midnight-navy-2","#5C7089","Hex: #5C7089","RGB: 92, 112, 137","HSL: 213, 20%, 45%","HSB: 213, 33%, 54%","CSS: rgb(92, 112, 137)","Light"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Midnight Navy","Typography and structure","midnight-navy-3","#0B1E33","Hex: #0B1E33","RGB: 11, 30, 51","HSL: 211, 65%, 12%","HSB: 211, 78%, 20%","CSS: rgb(11, 30, 51)","Base"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Midnight Navy","Typography and structure","midnight-navy-4","#071421","Hex: #071421","RGB: 7, 20, 33","HSL: 210, 65%, 8%","HSB: 210, 79%, 13%","CSS: rgb(7, 20, 33)","Dark"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Midnight Navy","Typography and structure","midnight-navy-5","#03080D","Hex: #03080D","RGB: 3, 8, 13","HSL: 210, 63%, 3%","HSB: 210, 77%, 5%","CSS: rgb(3, 8, 13)","Deep"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Royal Purple","Secondary accent","royal-purple-1","#E8DEF0","Hex: #E8DEF0","RGB: 232, 222, 240","HSL: 273, 35%, 91%","HSB: 273, 8%, 94%","CSS: rgb(232, 222, 240)","Tint"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Royal Purple","Secondary accent","royal-purple-2","#A37AC2","Hex: #A37AC2","RGB: 163, 122, 194","HSL: 274, 38%, 62%","HSB: 274, 37%, 76%","CSS: rgb(163, 122, 194)","Light"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Royal Purple","Secondary accent","royal-purple-3","#6A3093","Hex: #6A3093","RGB: 106, 48, 147","HSL: 275, 51%, 38%","HSB: 275, 67%, 58%","CSS: rgb(106, 48, 147)","Base"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Royal Purple","Secondary accent","royal-purple-4","#4C2269","Hex: #4C2269","RGB: 76, 34, 105","HSL: 275, 51%, 27%","HSB: 275, 68%, 41%","CSS: rgb(76, 34, 105)","Dark"
"Paws & Play","Energetic, Reliable, and Pet-Friendly","This palette is a fun and vibrant mix designed for a modern pet store, balancing high-energy accents with clean typography and a soft background.","Royal Purple","Secondary accent","royal-purple-5","#2E1540","Hex: #2E1540","RGB: 46, 21, 64","HSL: 275, 51%, 17%","HSB: 275, 67%, 25%","CSS: rgb(46, 21, 64)","Deep"
