palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Parchment Silk","A warm off-white for primary backgrounds.","parchment-silk-1","#e0d5c3","Hex: #e0d5c3","RGB: 224, 213, 195","HSL: 35, 21%, 85%","HSB: 35, 8%, 88%","CSS: rgb(224, 213, 195)","Deep silk"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Parchment Silk","A warm off-white for primary backgrounds.","parchment-silk-2","#f0ece6","Hex: #f0ece6","RGB: 240, 236, 230","HSL: 36, 23%, 92%","HSB: 36, 4%, 94%","CSS: rgb(240, 236, 230)","Soft silk"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Parchment Silk","A warm off-white for primary backgrounds.","parchment-silk-3","#faf9f7","Hex: #faf9f7","RGB: 250, 249, 247","HSL: 40, 20%, 97%","HSB: 40, 1%, 98%","CSS: rgb(250, 249, 247)","Base color"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Parchment Silk","A warm off-white for primary backgrounds.","parchment-silk-4","#ffffff","Hex: #ffffff","RGB: 255, 255, 255","HSL: 0, 0%, 100%","HSB: 0, 0%, 100%","CSS: rgb(255, 255, 255)","Pure white"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Parchment Silk","A warm off-white for primary backgrounds.","parchment-silk-5","#fcfcfb","Hex: #fcfcfb","RGB: 252, 252, 251","HSL: 60, 10%, 99%","HSB: 60, 0%, 99%","CSS: rgb(252, 252, 251)","Light highlight"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Honey Glow","A rich golden amber for interactive highlights.","honey-glow-1","#b38600","Hex: #b38600","RGB: 179, 134, 0","HSL: 45, 100%, 35%","HSB: 45, 100%, 70%","CSS: rgb(179, 134, 0)","Dark honey"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Honey Glow","A rich golden amber for interactive highlights.","honey-glow-2","#e6ac00","Hex: #e6ac00","RGB: 230, 172, 0","HSL: 45, 100%, 45%","HSB: 45, 100%, 90%","CSS: rgb(230, 172, 0)","Vibrant honey"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Honey Glow","A rich golden amber for interactive highlights.","honey-glow-3","#ffc107","Hex: #ffc107","RGB: 255, 193, 7","HSL: 45, 100%, 51%","HSB: 45, 97%, 100%","CSS: rgb(255, 193, 7)","Base color"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Honey Glow","A rich golden amber for interactive highlights.","honey-glow-4","#ffd54f","Hex: #ffd54f","RGB: 255, 213, 79","HSL: 46, 100%, 65%","HSB: 46, 69%, 100%","CSS: rgb(255, 213, 79)","Soft honey"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Honey Glow","A rich golden amber for interactive highlights.","honey-glow-5","#ffecb3","Hex: #ffecb3","RGB: 255, 236, 179","HSL: 45, 100%, 85%","HSB: 45, 30%, 100%","CSS: rgb(255, 236, 179)","Light amber"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Terracotta Soil","A sun-baked clay for primary CTAs and headings.","terracotta-soil-1","#8c3a1a","Hex: #8c3a1a","RGB: 140, 58, 26","HSL: 17, 69%, 33%","HSB: 17, 81%, 55%","CSS: rgb(140, 58, 26)","Dark clay"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Terracotta Soil","A sun-baked clay for primary CTAs and headings.","terracotta-soil-2","#b34a21","Hex: #b34a21","RGB: 179, 74, 33","HSL: 17, 69%, 42%","HSB: 17, 82%, 70%","CSS: rgb(179, 74, 33)","Warm clay"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Terracotta Soil","A sun-baked clay for primary CTAs and headings.","terracotta-soil-3","#d95a28","Hex: #d95a28","RGB: 217, 90, 40","HSL: 17, 69%, 50%","HSB: 17, 82%, 85%","CSS: rgb(217, 90, 40)","Base color"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Terracotta Soil","A sun-baked clay for primary CTAs and headings.","terracotta-soil-4","#e68b6a","Hex: #e68b6a","RGB: 230, 139, 106","HSL: 16, 71%, 66%","HSB: 16, 54%, 90%","CSS: rgb(230, 139, 106)","Soft terracotta"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Terracotta Soil","A sun-baked clay for primary CTAs and headings.","terracotta-soil-5","#f0bcab","Hex: #f0bcab","RGB: 240, 188, 171","HSL: 15, 70%, 81%","HSB: 15, 29%, 94%","CSS: rgb(240, 188, 171)","Light clay"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Mossy Branch","A dark olive green for grounding typography and botanical elements.","mossy-branch-1","#2b2e1b","Hex: #2b2e1b","RGB: 43, 46, 27","HSL: 69, 26%, 14%","HSB: 69, 41%, 18%","CSS: rgb(43, 46, 27)","Darkest moss"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Mossy Branch","A dark olive green for grounding typography and botanical elements.","mossy-branch-2","#444a2b","Hex: #444a2b","RGB: 68, 74, 43","HSL: 72, 27%, 23%","HSB: 72, 42%, 29%","CSS: rgb(68, 74, 43)","Rich moss"
"Golden Orchard","Rustic Glow and Harvest Calm","This palette combines the warmth of sun-drenched ambers with the earthy stability of terracotta and mossy greens. It is best suited for farm-to-table dining, organic product packaging, and artisan crafts.","Mossy Branch","A dark olive green for grounding typography and botanical elements.","mossy-branch-3","#5d663b","Hex: #5d663b","RGB: 93, 102, 59","HSL: 73, 27%, 32%","HSB: 73, 42%, 40%","CSS: rgb(93, 102, 59)","Base color"
