palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Carbon Shadow","Deep neutral for structural grounding and text.","carbon-shadow-1","#424242","Hex: #424242","RGB: 66, 66, 66","HSL: 0, 0%, 26%","HSB: 0, 0%, 26%","CSS: rgb(66, 66, 66)","Lighter structural tint."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Carbon Shadow","Deep neutral for structural grounding and text.","carbon-shadow-2","#363636","Hex: #363636","RGB: 54, 54, 54","HSL: 0, 0%, 21%","HSB: 0, 0%, 21%","CSS: rgb(54, 54, 54)","Secondary dark tone."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Carbon Shadow","Deep neutral for structural grounding and text.","carbon-shadow-3","#2A2A2A","Hex: #2A2A2A","RGB: 42, 42, 42","HSL: 0, 0%, 16%","HSB: 0, 0%, 16%","CSS: rgb(42, 42, 42)","Primary base structural color."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Carbon Shadow","Deep neutral for structural grounding and text.","carbon-shadow-4","#1E1E1E","Hex: #1E1E1E","RGB: 30, 30, 30","HSL: 0, 0%, 12%","HSB: 0, 0%, 12%","CSS: rgb(30, 30, 30)","Deep shadow."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Carbon Shadow","Deep neutral for structural grounding and text.","carbon-shadow-5","#121212","Hex: #121212","RGB: 18, 18, 18","HSL: 0, 0%, 7%","HSB: 0, 0%, 7%","CSS: rgb(18, 18, 18)","Deepest black replacement."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Slate Foundry","Cool blue-grey mimicking treated metal.","slate-foundry-1","#738391","Hex: #738391","RGB: 115, 131, 145","HSL: 208, 12%, 51%","HSB: 208, 21%, 57%","CSS: rgb(115, 131, 145)","Softest steel highlight."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Slate Foundry","Cool blue-grey mimicking treated metal.","slate-foundry-2","#64727F","Hex: #64727F","RGB: 100, 114, 127","HSL: 209, 12%, 45%","HSB: 209, 21%, 50%","CSS: rgb(100, 114, 127)","Subtle blue-metal tone."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Slate Foundry","Cool blue-grey mimicking treated metal.","slate-foundry-3","#55616D","Hex: #55616D","RGB: 85, 97, 109","HSL: 210, 12%, 38%","HSB: 210, 22%, 43%","CSS: rgb(85, 97, 109)","Primary metal blue base."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Slate Foundry","Cool blue-grey mimicking treated metal.","slate-foundry-4","#46505A","Hex: #46505A","RGB: 70, 80, 90","HSL: 210, 13%, 31%","HSB: 210, 22%, 35%","CSS: rgb(70, 80, 90)","Heavy metal shadow."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Slate Foundry","Cool blue-grey mimicking treated metal.","slate-foundry-5","#373F47","Hex: #373F47","RGB: 55, 63, 71","HSL: 210, 13%, 25%","HSB: 210, 23%, 28%","CSS: rgb(55, 63, 71)","Deep blue-grey."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Raw Steel","Mid-tone grey representing concrete surfaces.","raw-steel-1","#9E9E9E","Hex: #9E9E9E","RGB: 158, 158, 158","HSL: 0, 0%, 62%","HSB: 0, 0%, 62%","CSS: rgb(158, 158, 158)","Light concrete."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Raw Steel","Mid-tone grey representing concrete surfaces.","raw-steel-2","#8E8E8E","Hex: #8E8E8E","RGB: 142, 142, 142","HSL: 0, 0%, 56%","HSB: 0, 0%, 56%","CSS: rgb(142, 142, 142)","Soft stone grey."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Raw Steel","Mid-tone grey representing concrete surfaces.","raw-steel-3","#7E7E7E","Hex: #7E7E7E","RGB: 126, 126, 126","HSL: 0, 0%, 49%","HSB: 0, 0%, 49%","CSS: rgb(126, 126, 126)","Base concrete neutral."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Raw Steel","Mid-tone grey representing concrete surfaces.","raw-steel-4","#6E6E6E","Hex: #6E6E6E","RGB: 110, 110, 110","HSL: 0, 0%, 43%","HSB: 0, 0%, 43%","CSS: rgb(110, 110, 110)","Dark concrete."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Raw Steel","Mid-tone grey representing concrete surfaces.","raw-steel-5","#5E5E5E","Hex: #5E5E5E","RGB: 94, 94, 94","HSL: 0, 0%, 37%","HSB: 0, 0%, 37%","CSS: rgb(94, 94, 94)","Deep concrete shadow."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Midnight Teal","Sophisticated dark teal for brand accents.","midnight-teal-1","#465F64","Hex: #465F64","RGB: 70, 95, 100","HSL: 190, 18%, 33%","HSB: 190, 30%, 39%","CSS: rgb(70, 95, 100)","Soft teal tint."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Midnight Teal","Sophisticated dark teal for brand accents.","midnight-teal-2","#394E52","Hex: #394E52","RGB: 57, 78, 82","HSL: 190, 18%, 27%","HSB: 190, 30%, 32%","CSS: rgb(57, 78, 82)","Subtle brand color."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Midnight Teal","Sophisticated dark teal for brand accents.","midnight-teal-3","#2C3C40","Hex: #2C3C40","RGB: 44, 60, 64","HSL: 192, 19%, 21%","HSB: 192, 31%, 25%","CSS: rgb(44, 60, 64)","Primary brand accent."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Midnight Teal","Sophisticated dark teal for brand accents.","midnight-teal-4","#1F2A2D","Hex: #1F2A2D","RGB: 31, 42, 45","HSL: 193, 18%, 15%","HSB: 193, 31%, 18%","CSS: rgb(31, 42, 45)","Deep brand shade."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Midnight Teal","Sophisticated dark teal for brand accents.","midnight-teal-5","#12181A","Hex: #12181A","RGB: 18, 24, 26","HSL: 195, 18%, 9%","HSB: 195, 31%, 10%","CSS: rgb(18, 24, 26)","Darkest brand teal."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Oxidized Copper","Warm contrast color mimicking rust or copper.","oxidized-copper-1","#9C6C52","Hex: #9C6C52","RGB: 156, 108, 82","HSL: 21, 31%, 47%","HSB: 21, 47%, 61%","CSS: rgb(156, 108, 82)","Bright patina contrast."
"Industrial Steel & Concrete","Forge the Future with Raw Precision","A rugged, professional palette suited for architecture, fabrication, and urban tech.","Oxidized Copper","Warm contrast color mimicking rust or copper.","oxidized-copper-2","#865D46","Hex: #865D46","RGB: 134, 93, 70","HSL: 22, 31%, 40%","HSB: 22, 48%, 53%","CSS: rgb(134, 93, 70)","Rich copper highlight."
