"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Crème Brûlée","Warm off-white for backgrounds and whitespace.","creme-brulee-1","#FAF9F6","Hex: #FAF9F6","RGB: 250, 249, 246","HSL: 45, 20, 97","HSB: 45, 2, 98","CSS: rgb(250, 249, 246)","Ultra-light highlight"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Crème Brûlée","Warm off-white for backgrounds and whitespace.","creme-brulee-2","#F2F1EC","Hex: #F2F1EC","RGB: 242, 241, 236","HSL: 50, 15, 94","HSB: 50, 2, 95","CSS: rgb(242, 241, 236)","Soft tint"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Crème Brûlée","Warm off-white for backgrounds and whitespace.","creme-brulee-3","#E9E7DE","Hex: #E9E7DE","RGB: 233, 231, 222","HSL: 49, 21, 89","HSB: 49, 5, 91","CSS: rgb(233, 231, 222)","Base Neutral"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Crème Brûlée","Warm off-white for backgrounds and whitespace.","creme-brulee-4","#D8D4C7","Hex: #D8D4C7","RGB: 216, 212, 199","HSL: 46, 18, 81","HSB: 46, 8, 85","CSS: rgb(216, 212, 199)","Deep tint"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Crème Brûlée","Warm off-white for backgrounds and whitespace.","creme-brulee-5","#C1BAA8","Hex: #C1BAA8","RGB: 193, 186, 168","HSL: 43, 17, 71","HSB: 43, 13, 76","CSS: rgb(193, 186, 168)","Dark shadow"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Charcoal Truffle","Rich near-black for typography and deep contrast.","charcoal-truffle-1","#5C5B5A","Hex: #5C5B5A","RGB: 92, 91, 90","HSL: 30, 1, 36","HSB: 30, 2, 36","CSS: rgb(92, 91, 90)","Lightest Charcoal"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Charcoal Truffle","Rich near-black for typography and deep contrast.","charcoal-truffle-2","#474645","Hex: #474645","RGB: 71, 70, 69","HSL: 30, 1, 27","HSB: 30, 3, 28","CSS: rgb(71, 70, 69)","Soft Charcoal"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Charcoal Truffle","Rich near-black for typography and deep contrast.","charcoal-truffle-3","#333231","Hex: #333231","RGB: 51, 50, 49","HSL: 30, 2, 20","HSB: 30, 4, 20","CSS: rgb(51, 50, 49)","Base Contrast"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Charcoal Truffle","Rich near-black for typography and deep contrast.","charcoal-truffle-4","#242322","Hex: #242322","RGB: 36, 35, 34","HSL: 30, 3, 14","HSB: 30, 6, 14","CSS: rgb(36, 35, 34)","Deep Contrast"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Charcoal Truffle","Rich near-black for typography and deep contrast.","charcoal-truffle-5","#121111","Hex: #121111","RGB: 18, 17, 17","HSL: 0, 3, 7","HSB: 0, 6, 7","CSS: rgb(18, 17, 17)","Deepest Black"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Dusty Rose","Muted pink-red for secondary accents and depth.","dusty-rose-1","#D19A9A","Hex: #D19A9A","RGB: 209, 154, 154","HSL: 0, 39, 71","HSB: 0, 26, 82","CSS: rgb(209, 154, 154)","Soft Rose"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Dusty Rose","Muted pink-red for secondary accents and depth.","dusty-rose-2","#BC8080","Hex: #BC8080","RGB: 188, 128, 128","HSL: 0, 31, 62","HSB: 0, 32, 74","CSS: rgb(188, 128, 128)","Medium Rose"
"Heirloom Luxe","Elegant & Soft","A sophisticated palette balancing warm creams and deep truffles with muted accents. Ideal for fine dining and luxury lifestyle brands.","Dusty Rose","Muted pink-red for secondary accents and depth.","dusty-rose-3","#A5666C","Hex: #A5666C","RGB: 165, 102, 108","HSL: 354, 26, 52","HSB: 354, 38, 65","CSS: rgb(165, 102, 108)","Base Accent"
