"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Silk Creamsicle","A delicate champagne off-white for backgrounds.","silk-creamsicle-1","#FDFBF7","Hex: #FDFBF7","RGB: 253, 251, 247","HSL: 40, 43%, 98%","HSB: 40, 2%, 99%","CSS: rgb(253, 251, 247)","Lightest highlight"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Silk Creamsicle","A delicate champagne off-white for backgrounds.","silk-creamsicle-2","#FAF5ED","Hex: #FAF5ED","RGB: 250, 245, 237","HSL: 37, 52%, 95%","HSB: 37, 5%, 98%","CSS: rgb(250, 245, 237)","Soft highlight"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Silk Creamsicle","A delicate champagne off-white for backgrounds.","silk-creamsicle-3","#F4EBE0","Hex: #F4EBE0","RGB: 244, 235, 224","HSL: 33, 48%, 92%","HSB: 33, 8%, 96%","CSS: rgb(244, 235, 224)","Base Light Color"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Silk Creamsicle","A delicate champagne off-white for backgrounds.","silk-creamsicle-4","#E9DCCB","Hex: #E9DCCB","RGB: 233, 220, 203","HSL: 34, 41%, 85%","HSB: 34, 13%, 91%","CSS: rgb(233, 220, 203)","Deep Neutral"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Silk Creamsicle","A delicate champagne off-white for backgrounds.","silk-creamsicle-5","#DDC8AE","Hex: #DDC8AE","RGB: 221, 200, 174","HSL: 33, 42%, 77%","HSB: 33, 21%, 87%","CSS: rgb(221, 200, 174)","Darkest Neutral"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Dusty Rose Petal","Sophisticated muted rose for primary branding.","dusty-rose-petal-1","#F2E3E3","Hex: #F2E3E3","RGB: 242, 227, 227","HSL: 0, 36%, 92%","HSB: 0, 6%, 95%","CSS: rgb(242, 227, 227)","Pale Blush"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Dusty Rose Petal","Sophisticated muted rose for primary branding.","dusty-rose-petal-2","#D8A9A9","Hex: #D8A9A9","RGB: 216, 169, 169","HSL: 0, 40%, 75%","HSB: 0, 22%, 85%","CSS: rgb(216, 169, 169)","Soft Rose"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Dusty Rose Petal","Sophisticated muted rose for primary branding.","dusty-rose-petal-3","#B17A7A","Hex: #B17A7A","RGB: 177, 122, 122","HSL: 0, 27%, 59%","HSB: 0, 31%, 69%","CSS: rgb(177, 122, 122)","Base Primary Color"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Dusty Rose Petal","Sophisticated muted rose for primary branding.","dusty-rose-petal-4","#8A5B5B","Hex: #8A5B5B","RGB: 138, 91, 91","HSL: 0, 21%, 45%","HSB: 0, 34%, 54%","CSS: rgb(138, 91, 91)","Deep Rose"
"Radiant Satin","Timeless Elegance for High-End Skincare","This palette is Elegant & Soft, featuring warm neutrals and sophisticated roses suitable for luxury beauty and wellness brands.","Dusty Rose Petal","Sophisticated muted rose for primary branding.","dusty-rose-petal-5","#613C3C","Hex: #613C3C","RGB: 97, 60, 60","HSL: 0, 24%, 31%","HSB: 0, 38%, 38%","CSS: rgb(97, 60, 60)","Darkest Rose"
