palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Onyx Steel","Deep near-black for text and structural borders.","onyx-steel-1","#424242","Hex: #424242","RGB: 66, 66, 66","HSL: 0, 0, 26","HSB: 0, 0, 26","CSS: rgb(66, 66, 66)","Lightest Onyx"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Onyx Steel","Deep near-black for text and structural borders.","onyx-steel-2","#303030","Hex: #303030","RGB: 48, 48, 48","HSL: 0, 0, 19","HSB: 0, 0, 19","CSS: rgb(48, 48, 48)","Muted Onyx"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Onyx Steel","Deep near-black for text and structural borders.","onyx-steel-3","#1A1A1A","Hex: #1A1A1A","RGB: 26, 26, 26","HSL: 0, 0, 10","HSB: 0, 0, 10","CSS: rgb(26, 26, 26)","Base Onyx"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Onyx Steel","Deep near-black for text and structural borders.","onyx-steel-4","#121212","Hex: #121212","RGB: 18, 18, 18","HSL: 0, 0, 7","HSB: 0, 0, 7","CSS: rgb(18, 18, 18)","Dark Onyx"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Onyx Steel","Deep near-black for text and structural borders.","onyx-steel-5","#080808","Hex: #080808","RGB: 8, 8, 8","HSL: 0, 0, 3","HSB: 0, 0, 3","CSS: rgb(8, 8, 8)","Deepest Onyx"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Frosted Zinc","Cool light grey for backgrounds and surfaces.","frosted-zinc-1","#F5F7F8","Hex: #F5F7F8","RGB: 245, 247, 248","HSL: 200, 1, 97","HSB: 200, 1, 97","CSS: rgb(245, 247, 248)","Lightest Zinc"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Frosted Zinc","Cool light grey for backgrounds and surfaces.","frosted-zinc-2","#E9ECEE","Hex: #E9ECEE","RGB: 233, 236, 238","HSL: 204, 2, 92","HSB: 204, 2, 93","CSS: rgb(233, 236, 238)","Muted Zinc"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Frosted Zinc","Cool light grey for backgrounds and surfaces.","frosted-zinc-3","#D1D5D8","Hex: #D1D5D8","RGB: 209, 213, 216","HSL: 206, 3, 83","HSB: 206, 3, 85","CSS: rgb(209, 213, 216)","Base Zinc"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Frosted Zinc","Cool light grey for backgrounds and surfaces.","frosted-zinc-4","#BFC4C8","Hex: #BFC4C8","RGB: 191, 196, 200","HSL: 207, 5, 77","HSB: 207, 5, 78","CSS: rgb(191, 196, 200)","Dark Zinc"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Frosted Zinc","Cool light grey for backgrounds and surfaces.","frosted-zinc-5","#A8AEB3","Hex: #A8AEB3","RGB: 168, 174, 179","HSL: 207, 6, 68","HSB: 207, 6, 70","CSS: rgb(168, 174, 179)","Deepest Zinc"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Cobalt Graphite","Core brand color for headers and buttons.","cobalt-graphite-1","#5C6B7A","Hex: #5C6B7A","RGB: 92, 107, 122","HSL: 210, 14, 42","HSB: 210, 25, 48","CSS: rgb(92, 107, 122)","Lightest Cobalt"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Cobalt Graphite","Core brand color for headers and buttons.","cobalt-graphite-2","#4A5663","Hex: #4A5663","RGB: 74, 86, 99","HSL: 211, 14, 34","HSB: 211, 25, 39","CSS: rgb(74, 86, 99)","Muted Cobalt"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Cobalt Graphite","Core brand color for headers and buttons.","cobalt-graphite-3","#3A434D","Hex: #3A434D","RGB: 58, 67, 77","HSL: 212, 14, 26","HSB: 212, 25, 30","CSS: rgb(58, 67, 77)","Base Cobalt"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Cobalt Graphite","Core brand color for headers and buttons.","cobalt-graphite-4","#2D343C","Hex: #2D343C","RGB: 45, 52, 60","HSL: 212, 14, 21","HSB: 212, 25, 24","CSS: rgb(45, 52, 60)","Dark Cobalt"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Cobalt Graphite","Core brand color for headers and buttons.","cobalt-graphite-5","#1F2429","Hex: #1F2429","RGB: 31, 36, 41","HSL: 210, 14, 14","HSB: 210, 24, 16","CSS: rgb(31, 36, 41)","Deepest Cobalt"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Slag Grey","Mid-tone neutral for secondary UI text.","slag-grey-1","#949494","Hex: #949494","RGB: 148, 148, 148","HSL: 0, 0, 58","HSB: 0, 0, 58","CSS: rgb(148, 148, 148)","Lightest Slag"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Slag Grey","Mid-tone neutral for secondary UI text.","slag-grey-2","#7B7B7B","Hex: #7B7B7B","RGB: 123, 123, 123","HSL: 0, 0, 48","HSB: 0, 0, 48","CSS: rgb(123, 123, 123)","Muted Slag"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Slag Grey","Mid-tone neutral for secondary UI text.","slag-grey-3","#666666","Hex: #666666","RGB: 102, 102, 102","HSL: 0, 0, 40","HSB: 0, 0, 40","CSS: rgb(102, 102, 102)","Base Slag"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Slag Grey","Mid-tone neutral for secondary UI text.","slag-grey-4","#525252","Hex: #525252","RGB: 82, 82, 82","HSL: 0, 0, 32","HSB: 0, 0, 32","CSS: rgb(82, 82, 82)","Dark Slag"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Slag Grey","Mid-tone neutral for secondary UI text.","slag-grey-5","#3D3D3D","Hex: #3D3D3D","RGB: 61, 61, 61","HSL: 0, 0, 24","HSB: 0, 0, 24","CSS: rgb(61, 61, 61)","Deepest Slag"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Industrial Amber","High-contrast safety orange for CTAs.","industrial-amber-1","#E07D4F","Hex: #E07D4F","RGB: 224, 125, 79","HSL: 19, 70, 59","HSB: 19, 65, 88","CSS: rgb(224, 125, 79)","Lightest Amber"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Industrial Amber","High-contrast safety orange for CTAs.","industrial-amber-2","#C7683C","Hex: #C7683C","RGB: 199, 104, 60","HSL: 19, 56, 51","HSB: 19, 70, 78","CSS: rgb(199, 104, 60)","Muted Amber"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Industrial Amber","High-contrast safety orange for CTAs.","industrial-amber-3","#AF5832","Hex: #AF5832","RGB: 175, 88, 50","HSL: 18, 56, 44","HSB: 18, 71, 69","CSS: rgb(175, 88, 50)","Base Amber"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Industrial Amber","High-contrast safety orange for CTAs.","industrial-amber-4","#8F4728","Hex: #8F4728","RGB: 143, 71, 40","HSL: 18, 56, 36","HSB: 18, 72, 56","CSS: rgb(143, 71, 40)","Dark Amber"
"Forge & Foundry","Industrial & Cool","Raw structural elements and high-tensile metals balanced with safety amber. Best for architecture, engineering, and heavy manufacturing.","Industrial Amber","High-contrast safety orange for CTAs.","industrial-amber-5","#6E361E","Hex: #6E361E","RGB: 110, 54, 30","HSL: 18, 57, 27","HSB: 18, 73, 43","CSS: rgb(110, 54, 30)","Deepest Amber"
