"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Cream Silk","Light background base color","cream-silk-1","#FFFDF5","Hex: #FFFDF5","RGB: 255, 253, 245","HSL: 48, 100, 98","HSB: 48, 4, 100","CSS: rgb(255, 253, 245)","Lightest tint"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Cream Silk","Light background base color","cream-silk-2","#FDF9E2","Hex: #FDF9E2","RGB: 253, 249, 226","HSL: 51, 82, 94","HSB: 51, 11, 99","CSS: rgb(253, 249, 226)","Soft tint"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Cream Silk","Light background base color","cream-silk-3","#F9F4D2","Hex: #F9F4D2","RGB: 249, 244, 210","HSL: 52, 74, 90","HSB: 52, 16, 98","CSS: rgb(249, 244, 210)","Base light background"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Cream Silk","Light background base color","cream-silk-4","#EBE4B0","Hex: #EBE4B0","RGB: 235, 228, 176","HSL: 53, 59, 81","HSB: 53, 25, 92","CSS: rgb(235, 228, 176)","Deep shade"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Cream Silk","Light background base color","cream-silk-5","#D1C98C","Hex: #D1C98C","RGB: 209, 201, 140","HSL: 53, 44, 68","HSB: 53, 33, 82","CSS: rgb(209, 201, 140)","Darkest shade"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Midnight Neon","Dark background base color","midnight-neon-1","#3B3B8F","Hex: #3B3B8F","RGB: 59, 59, 143","HSL: 240, 42, 40","HSB: 240, 59, 56","CSS: rgb(59, 59, 143)","Lightest tint"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Midnight Neon","Dark background base color","midnight-neon-2","#2F2F73","Hex: #2F2F73","RGB: 47, 47, 115","HSL: 240, 42, 32","HSB: 240, 59, 45","CSS: rgb(47, 47, 115)","Soft tint"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Midnight Neon","Dark background base color","midnight-neon-3","#2A2A64","Hex: #2A2A64","RGB: 42, 42, 100","HSL: 240, 41, 28","HSB: 240, 58, 39","CSS: rgb(42, 42, 100)","Base dark background"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Midnight Neon","Dark background base color","midnight-neon-4","#1E1E4A","Hex: #1E1E4A","RGB: 30, 30, 74","HSL: 240, 42, 20","HSB: 240, 59, 29","CSS: rgb(30, 30, 74)","Deep shade"
"Electric Stream","High-Energy Digital Creativity","A vibrant palette designed for creative tech brands, featuring high-contrast neons against soft cream or deep midnight backgrounds. Best suited for consumer electronics, apps, and digital agencies.","Midnight Neon","Dark background base color","midnight-neon-5","#12122E","Hex: #12122E","RGB: 18, 18, 46","HSL: 240, 44, 13","HSB: 240, 61, 18","CSS: rgb(18, 18, 46)","Darkest shade"
