palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Almond Frost","A warm off-white for backgrounds and clean spaces.","almond-frost-1","#FAF9F6","Hex: #FAF9F6","RGB: 250, 249, 246","HSL: 45, 20%, 97%","HSB: 45, 2%, 98%","CSS: rgb(250, 249, 246)","Lightest highlight"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Almond Frost","A warm off-white for backgrounds and clean spaces.","almond-frost-2","#F2F0E9","Hex: #F2F0E9","RGB: 242, 240, 233","HSL: 47, 23%, 93%","HSB: 47, 4%, 95%","CSS: rgb(242, 240, 233)","Soft tint"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Almond Frost","A warm off-white for backgrounds and clean spaces.","almond-frost-3","#EAE7DC","Hex: #EAE7DC","RGB: 234, 231, 220","HSL: 47, 24%, 89%","HSB: 47, 6%, 92%","CSS: rgb(234, 231, 220)","Base background color"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Almond Frost","A warm off-white for backgrounds and clean spaces.","almond-frost-4","#D8D3C3","Hex: #D8D3C3","RGB: 216, 211, 195","HSL: 46, 21%, 81%","HSB: 46, 10%, 85%","CSS: rgb(216, 211, 195)","Deep shadow"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Almond Frost","A warm off-white for backgrounds and clean spaces.","almond-frost-5","#C6BFAA","Hex: #C6BFAA","RGB: 198, 191, 170","HSL: 45, 19%, 72%","HSB: 45, 14%, 78%","CSS: rgb(198, 191, 170)","Darkest variation"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Dusty Rose","A sophisticated pink for feminine warmth.","dusty-rose-1","#F2E4E4","Hex: #F2E4E4","RGB: 242, 228, 228","HSL: 0, 31%, 92%","HSB: 0, 6%, 95%","CSS: rgb(242, 228, 228)","Lightest tint"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Dusty Rose","A sophisticated pink for feminine warmth.","dusty-rose-2","#D9B8B8","Hex: #D9B8B8","RGB: 217, 184, 184","HSL: 0, 30%, 79%","HSB: 0, 15%, 85%","CSS: rgb(217, 184, 184)","Soft pink"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Dusty Rose","A sophisticated pink for feminine warmth.","dusty-rose-3","#C19A9A","Hex: #C19A9A","RGB: 193, 154, 154","HSL: 0, 24%, 68%","HSB: 0, 20%, 76%","CSS: rgb(193, 154, 154)","Secondary brand color"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Dusty Rose","A sophisticated pink for feminine warmth.","dusty-rose-4","#A97C7C","Hex: #A97C7C","RGB: 169, 124, 124","HSL: 0, 21%, 57%","HSB: 0, 27%, 66%","CSS: rgb(169, 124, 124)","Muted clay"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Dusty Rose","A sophisticated pink for feminine warmth.","dusty-rose-5","#8A5F5F","Hex: #8A5F5F","RGB: 138, 95, 95","HSL: 0, 18%, 46%","HSB: 0, 31%, 54%","CSS: rgb(138, 95, 95)","Deep mauve shadow"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Sage Leaf","An organic green representing nature and renewal.","sage-leaf-1","#E8EEE5","Hex: #E8EEE5","RGB: 232, 238, 229","HSL: 100, 21%, 92%","HSB: 100, 4%, 93%","CSS: rgb(232, 238, 229)","Pale sage"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Sage Leaf","An organic green representing nature and renewal.","sage-leaf-2","#C3D1BD","Hex: #C3D1BD","RGB: 195, 209, 189","HSL: 102, 19%, 78%","HSB: 102, 10%, 82%","CSS: rgb(195, 209, 189)","Soft nature tint"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Sage Leaf","An organic green representing nature and renewal.","sage-leaf-3","#9EAF97","Hex: #9EAF97","RGB: 158, 175, 151","HSL: 102, 13%, 64%","HSB: 102, 14%, 69%","CSS: rgb(158, 175, 151)","Primary brand color"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Sage Leaf","An organic green representing nature and renewal.","sage-leaf-4","#7D8F76","Hex: #7D8F76","RGB: 125, 143, 118","HSL: 103, 11%, 51%","HSB: 103, 17%, 56%","CSS: rgb(125, 143, 118)","Deep sage"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Sage Leaf","An organic green representing nature and renewal.","sage-leaf-5","#5D6D58","Hex: #5D6D58","RGB: 93, 109, 88","HSL: 106, 11%, 39%","HSB: 106, 19%, 43%","CSS: rgb(93, 109, 88)","Forest shadow"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Obsidian Mist","A soft charcoal for text and grounding elements.","obsidian-mist-1","#6F7275","Hex: #6F7275","RGB: 111, 114, 117","HSL: 210, 3%, 45%","HSB: 210, 5%, 46%","CSS: rgb(111, 114, 117)","Medium gray"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Obsidian Mist","A soft charcoal for text and grounding elements.","obsidian-mist-2","#585B5E","Hex: #585B5E","RGB: 88, 91, 94","HSL: 210, 3%, 36%","HSB: 210, 6%, 37%","CSS: rgb(88, 91, 94)","Deep slate"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Obsidian Mist","A soft charcoal for text and grounding elements.","obsidian-mist-3","#424548","Hex: #424548","RGB: 66, 69, 72","HSL: 210, 4%, 27%","HSB: 210, 8%, 28%","CSS: rgb(66, 69, 72)","Text and UI primary dark"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Obsidian Mist","A soft charcoal for text and grounding elements.","obsidian-mist-4","#2C2F32","Hex: #2C2F32","RGB: 44, 47, 50","HSL: 210, 6%, 18%","HSB: 210, 12%, 20%","CSS: rgb(44, 47, 50)","Rich charcoal"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Obsidian Mist","A soft charcoal for text and grounding elements.","obsidian-mist-5","#16191B","Hex: #16191B","RGB: 22, 25, 27","HSL: 204, 10%, 10%","HSB: 204, 19%, 11%","CSS: rgb(22, 25, 27)","Midnight grounding"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Gilded Sand","A soft metallic accent for highlights and buttons.","gilded-sand-1","#F3E7D1","Hex: #F3E7D1","RGB: 243, 231, 209","HSL: 39, 57%, 89%","HSB: 39, 14%, 95%","CSS: rgb(243, 231, 209)","Champagne highlight"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Gilded Sand","A soft metallic accent for highlights and buttons.","gilded-sand-2","#E1CB9F","Hex: #E1CB9F","RGB: 225, 203, 159","HSL: 40, 52%, 75%","HSB: 40, 29%, 88%","CSS: rgb(225, 203, 159)","Light gold"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Gilded Sand","A soft metallic accent for highlights and buttons.","gilded-sand-3","#C8AD7F","Hex: #C8AD7F","RGB: 200, 173, 127","HSL: 38, 41%, 64%","HSB: 38, 36%, 78%","CSS: rgb(200, 173, 127)","Accent CTA color"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Gilded Sand","A soft metallic accent for highlights and buttons.","gilded-sand-4","#AA8F60","Hex: #AA8F60","RGB: 170, 143, 96","HSL: 38, 30%, 52%","HSB: 38, 44%, 67%","CSS: rgb(170, 143, 96)","Burnished bronze"
"Serene Sanctuary","Elegant & Soft","A palette designed for wellness spas and luxury brands to evoke tranquility and restorative peace. Best for health and beauty industries.","Gilded Sand","A soft metallic accent for highlights and buttons.","gilded-sand-5","#8A724A","Hex: #8A724A","RGB: 138, 114, 74","HSL: 38, 30%, 42%","HSB: 38, 46%, 54%","CSS: rgb(138, 114, 74)","Earth gold"
