"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Concrete Grey","A foundational neutral that mimics cured cement.","concrete-grey-1","#F2F4F5","Hex: #F2F4F5","RGB: 242, 244, 245","HSL: 195, 13%, 95%","HSB: 195, 1%, 96%","CSS: rgb(242, 244, 245)","Lightest tint for subtle backgrounds."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Concrete Grey","A foundational neutral that mimics cured cement.","concrete-grey-2","#D1D8DB","Hex: #D1D8DB","RGB: 209, 216, 219","HSL: 198, 14%, 84%","HSB: 198, 5%, 86%","CSS: rgb(209, 216, 219)","Soft grey for secondary elements."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Concrete Grey","A foundational neutral that mimics cured cement.","concrete-grey-3","#A9B4B8","Hex: #A9B4B8","RGB: 169, 180, 184","HSL: 196, 11%, 69%","HSB: 196, 8%, 72%","CSS: rgb(169, 180, 184)","Base concrete grey for structural layout."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Concrete Grey","A foundational neutral that mimics cured cement.","concrete-grey-4","#7B888D","Hex: #7B888D","RGB: 123, 136, 141","HSL: 197, 7%, 52%","HSB: 197, 13%, 55%","CSS: rgb(123, 136, 141)","Darker grey for borders and depth."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Concrete Grey","A foundational neutral that mimics cured cement.","concrete-grey-5","#4E575B","Hex: #4E575B","RGB: 78, 87, 91","HSL: 198, 8%, 33%","HSB: 198, 14%, 36%","CSS: rgb(78, 87, 91)","Deep grey for text or heavy accents."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Steel Blue","A professional mid-tone representing machinery and tools.","steel-blue-1","#E8EEF2","Hex: #E8EEF2","RGB: 232, 238, 242","HSL: 204, 25%, 93%","HSB: 204, 4%, 95%","CSS: rgb(232, 238, 242)","Whisper blue for highlight areas."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Steel Blue","A professional mid-tone representing machinery and tools.","steel-blue-2","#99B3C6","Hex: #99B3C6","RGB: 153, 179, 198","HSL: 205, 30%, 69%","HSB: 205, 23%, 78%","CSS: rgb(153, 179, 198)","Muted steel blue for icons."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Steel Blue","A professional mid-tone representing machinery and tools.","steel-blue-3","#5B82A1","Hex: #5B82A1","RGB: 91, 130, 161","HSL: 207, 28%, 49%","HSB: 207, 43%, 63%","CSS: rgb(91, 130, 161)","Primary brand blue for professional trust."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Steel Blue","A professional mid-tone representing machinery and tools.","steel-blue-4","#3D576B","Hex: #3D576B","RGB: 61, 87, 107","HSL: 206, 27%, 33%","HSB: 206, 43%, 42%","CSS: rgb(61, 87, 107)","Dark steel for secondary buttons."
"Industrial Foundation","Precision Cutting & Core Strength","This palette captures the raw, professional essence of the concrete cutting industry. It balances heavy-duty Industrial & Cool tones with a high-visibility orange accent. Best suited for construction, heavy machinery, and architectural services.","Steel Blue","A professional mid-tone representing machinery and tools.","steel-blue-5","#202D38","Hex: #202D38","RGB: 32, 45, 56","HSL: 208, 27%, 17%","HSB: 208, 43%, 22%","CSS: rgb(32, 45, 56)","Deep steel for high-contrast labels."
