"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Creamy Bone","Soft background color to reduce eye strain.","creamy-bone-1","#FAF9F2","Hex: #FAF9F2","RGB: 250, 249, 242","HSL: 53, 41%, 96%","HSB: 53, 3%, 98%","CSS: rgb(250, 249, 242)","Lightest variant"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Creamy Bone","Soft background color to reduce eye strain.","creamy-bone-2","#F7F5E6","Hex: #F7F5E6","RGB: 247, 245, 230","HSL: 53, 48%, 94%","HSB: 53, 7%, 97%","CSS: rgb(247, 245, 230)","Soft tint"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Creamy Bone","Soft background color to reduce eye strain.","creamy-bone-3","#F2EFE0","Hex: #F2EFE0","RGB: 242, 239, 224","HSL: 50, 39%, 91%","HSB: 50, 7%, 95%","CSS: rgb(242, 239, 224)","Base color for backgrounds"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Creamy Bone","Soft background color to reduce eye strain.","creamy-bone-4","#EBE6CC","Hex: #EBE6CC","RGB: 235, 230, 204","HSL: 50, 42%, 86%","HSB: 50, 13%, 92%","CSS: rgb(235, 230, 204)","Subtle shadow"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Creamy Bone","Soft background color to reduce eye strain.","creamy-bone-5","#DED8B6","Hex: #DED8B6","RGB: 222, 216, 182","HSL: 51, 39%, 79%","HSB: 51, 18%, 87%","CSS: rgb(222, 216, 182)","Deepest cream"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Sunny Yellow","Optimistic accent color for icons and highlights.","sunny-yellow-1","#FFF299","Hex: #FFF299","RGB: 255, 242, 153","HSL: 52, 100%, 80%","HSB: 52, 40%, 100%","CSS: rgb(255, 242, 153)","Pale yellow"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Sunny Yellow","Optimistic accent color for icons and highlights.","sunny-yellow-2","#FFE94D","Hex: #FFE94D","RGB: 255, 233, 77","HSL: 53, 100%, 65%","HSB: 53, 70%, 100%","CSS: rgb(255, 233, 77)","Bright yellow"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Sunny Yellow","Optimistic accent color for icons and highlights.","sunny-yellow-3","#FFD700","Hex: #FFD700","RGB: 255, 215, 0","HSL: 51, 100%, 50%","HSB: 51, 100%, 100%","CSS: rgb(255, 215, 0)","Vibrant gold base"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Sunny Yellow","Optimistic accent color for icons and highlights.","sunny-yellow-4","#CCAC00","Hex: #CCAC00","RGB: 204, 172, 0","HSL: 51, 100%, 40%","HSB: 51, 100%, 80%","CSS: rgb(204, 172, 0)","Dark gold"
"Vivid Horizon","Energetic Foundations for Modern Creativity","A bold, high-energy palette suited for SaaS, creative agencies, and EdTech. Features high-contrast vibrant pops against a dark forest anchor and soft cream base.","Sunny Yellow","Optimistic accent color for icons and highlights.","sunny-yellow-5","#998100","Hex: #998100","RGB: 153, 129, 0","HSL: 51, 100%, 30%","HSB: 51, 100%, 60%","CSS: rgb(153, 129, 0)","Deepest gold"
