palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios. It balances heavy architectural tones with high-visibility accents to drive action and energy. Best suited for gyms, hardware brands, and tech-focused athletic performance companies.","Charcoal","Primary dark grounding color for text and deep UI regions.","charcoal-1","#404040","Hex: #404040","RGB: 64, 64, 64","HSL: 0, 0%, 25%","HSB: 0, 0%, 25%","CSS: rgb(64, 64, 64)","Lightest tint for soft dark regions."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Charcoal","Primary dark grounding color for text and deep UI regions.","charcoal-2","#333333","Hex: #333333","RGB: 51, 51, 51","HSL: 0, 0%, 20%","HSB: 0, 0%, 20%","CSS: rgb(51, 51, 51)","Secondary dark tone."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Charcoal","Primary dark grounding color for text and deep UI regions.","charcoal-3","#2C3531","Hex: #2C3531","RGB: 44, 53, 49","HSL: 153, 9%, 19%","HSB: 153, 17%, 21%","CSS: rgb(44, 53, 49)","Base dark color."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Charcoal","Primary dark grounding color for text and deep UI regions.","charcoal-4","#1E2421","Hex: #1E2421","RGB: 30, 36, 33","HSL: 150, 9%, 13%","HSB: 150, 17%, 14%","CSS: rgb(30, 36, 33)","Deep dark for intense shadows."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Charcoal","Primary dark grounding color for text and deep UI regions.","charcoal-5","#111413","Hex: #111413","RGB: 17, 20, 19","HSL: 160, 8%, 7%","HSB: 160, 15%, 8%","CSS: rgb(17, 20, 19)","Near-black foundations."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Steel Grey","Neutral scale for secondary backgrounds and structural elements.","steel-grey-1","#F2F2F2","Hex: #F2F2F2","RGB: 242, 242, 242","HSL: 0, 0%, 95%","HSB: 0, 0%, 95%","CSS: rgb(242, 242, 242)","Clean background light."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Steel Grey","Neutral scale for secondary backgrounds and structural elements.","steel-grey-2","#E0E0E0","Hex: #E0E0E0","RGB: 224, 224, 224","HSL: 0, 0%, 88%","HSB: 0, 0%, 88%","CSS: rgb(224, 224, 224)","Soft grey border."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Steel Grey","Neutral scale for secondary backgrounds and structural elements.","steel-grey-3","#D1D1D1","Hex: #D1D1D1","RGB: 209, 209, 209","HSL: 0, 0%, 82%","HSB: 0, 0%, 82%","CSS: rgb(209, 209, 209)","Base Concrete Grey."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Steel Grey","Neutral scale for secondary backgrounds and structural elements.","steel-grey-4","#BDBDBD","Hex: #BDBDBD","RGB: 189, 189, 189","HSL: 0, 0%, 74%","HSB: 0, 0%, 74%","CSS: rgb(189, 189, 189)","Medium grey for icons."
"Iron & Oxygen","Forged Strength & Modern Vitality","A Cool & Industrial palette designed for high-end fitness studios.","Steel Grey","Neutral scale for secondary backgrounds and structural elements.","steel-grey-5","#A6A6A6","Hex: #A6A6A6","RGB: 166, 166, 166","HSL: 0, 0%, 65%","HSB: 0, 0%, 65%","CSS: rgb(166, 166, 166)","Dark grey for sub-labels."
