palette-title,palette-subtitle,palette-description,color-name,color-description,step-name,swatch-hex,hex,rgb,hsl,hsb,css,step-description
"Refined Threads","An Elegant & Soft Apparel Palette","This palette evokes a sense of high-end comfort and timeless style. The combination of muted pastels and grounded neutrals makes it ideal for luxury apparel brands, organic skincare, or minimalist lifestyle blogs.","Charcoal Noir","Deep grounded neutral for text and high contrast.","charcoal-noir-1","#4D4D4D","Hex: #4D4D4D","RGB: 77, 77, 77","HSL: 0, 0%, 30%","HSB: 0, 0%, 30%","CSS: rgb(77, 77, 77)","Light Charcoal"
"Refined Threads","An Elegant & Soft Apparel Palette","This palette evokes a sense of high-end comfort and timeless style. The combination of muted pastels and grounded neutrals makes it ideal for luxury apparel brands, organic skincare, or minimalist lifestyle blogs.","Charcoal Noir","Deep grounded neutral for text and high contrast.","charcoal-noir-2","#404040","Hex: #404040","RGB: 64, 64, 64","HSL: 0, 0%, 25%","HSB: 0, 0%, 25%","CSS: rgb(64, 64, 64)","Medium Dark Charcoal"
"Refined Threads","An Elegant & Soft Apparel Palette","This palette evokes a sense of high-end comfort and timeless style. The combination of muted pastels and grounded neutrals makes it ideal for luxury apparel brands, organic skincare, or minimalist lifestyle blogs.","Charcoal Noir","Deep grounded neutral for text and high contrast.","charcoal-noir-3","#333333","Hex: #333333","RGB: 51, 51, 51","HSL: 0, 0%, 20%","HSB: 0, 0%, 20%","CSS: rgb(51, 51, 51)","Base Charcoal"
"Refined Threads","An Elegant & Soft Apparel Palette","This palette evokes a sense of high-end comfort and timeless style. The combination of muted pastels and grounded neutrals makes it ideal for luxury apparel brands, organic skincare, or minimalist lifestyle blogs.","Charcoal Noir","Deep grounded neutral for text and high contrast.","charcoal-noir-4","#262626","Hex: #262626","RGB: 38, 38, 38","HSL: 0, 0%, 15%","HSB: 0, 0%, 15%","CSS: rgb(38, 38, 38)","Very Dark Charcoal"
"Refined Threads","An Elegant & Soft Apparel Palette","This palette evokes a sense of high-end comfort and timeless style. The combination of muted pastels and grounded neutrals makes it ideal for luxury apparel brands, organic skincare, or minimalist lifestyle blogs.","Charcoal Noir","Deep grounded neutral for text and high contrast.","charcoal-noir-5","#1A1A1A","Hex: #1A1A1A","RGB: 26, 26, 26","HSL: 0, 0%, 10%","HSB: 0, 0%, 10%","CSS: rgb(26, 26, 26)","Near Black"
"Refined Threads","An Elegant & Soft Apparel Palette","...","Alabaster Silk","Warm white background color.","alabaster-silk-1","#FDFBF7","Hex: #FDFBF7","RGB: 253, 251, 247","HSL: 40, 50%, 98%","HSB: 40, 2%, 99%","CSS: rgb(253, 251, 247)","Soft Highlight"
"Refined Threads","An Elegant & Soft Apparel Palette","...","Alabaster Silk","Warm white background color.","alabaster-silk-2","#FAF6EF","Hex: #FAF6EF","RGB: 250, 246, 239","HSL: 38, 52%, 96%","HSB: 38, 4%, 98%","CSS: rgb(250, 246, 239)","Light Silk"
"Refined Threads","An Elegant & Soft Apparel Palette","...","Alabaster Silk","Warm white background color.","alabaster-silk-3","#F5EFE1","Hex: #F5EFE1","RGB: 245, 239, 225","HSL: 42, 50%, 92%","HSB: 42, 8%, 96%","CSS: rgb(245, 239, 225)","Base Alabaster"
"Refined Threads","An Elegant & Soft Apparel Palette","...","Alabaster Silk","Warm white background color.","alabaster-silk-4","#EBE1CB","Hex: #EBE1CB","RGB: 235, 225, 203","HSL: 41, 48%, 86%","HSB: 41, 14%, 92%","CSS: rgb(235, 225, 203)","Darker Alabaster"
"Refined Threads","An Elegant & Soft Apparel Palette","...","Alabaster Silk","Warm white background color.","alabaster-silk-5","#E1D3B5","Hex: #E1D3B5","RGB: 225, 211, 181","HSL: 41, 44%, 80%","HSB: 41, 20%, 88%","CSS: rgb(225, 211, 181)","Deep Tan Tint"
"Refined Threads","An Elegant & Soft Apparel Palette","...","Dusty Rose","Primary brand color for buttons and highlights.","dusty-rose-1","#E8C9C9","Hex: #E8C9C9","RGB: 232, 201, 201","HSL: 0, 39%, 85%","HSB: 0, 13%, 91%","CSS: rgb(232, 201, 201)","Pale Rose"
"Refined Threads","An Elegant & Soft Apparel Palette","...","Dusty Rose","Primary brand color for buttons and highlights.","dusty-rose-2","#D6A8A8","Hex: #D6A8A8","RGB: 214, 168, 168","HSL: 0, 37%, 75%","HSB: 0, 21%, 84%","CSS: rgb(214, 168, 168)","Light Rose"
