"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Onyx Night","A deep, near-black used for primary typography and high-contrast UI elements.","onyx-night-1","#4D4D4D","Hex: #4D4D4D","RGB: 77, 77, 77","HSL: 0, 0%, 30%","HSB: 0, 0%, 30%","CSS: rgb(77, 77, 77)","Lightest onyx variation"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Onyx Night","A deep, near-black used for primary typography and high-contrast UI elements.","onyx-night-2","#2B2B2B","Hex: #2B2B2B","RGB: 43, 43, 43","HSL: 0, 0%, 17%","HSB: 0, 0%, 17%","CSS: rgb(43, 43, 43)","Darker onyx variation"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Onyx Night","A deep, near-black used for primary typography and high-contrast UI elements.","onyx-night-3","#121212","Hex: #121212","RGB: 18, 18, 18","HSL: 0, 0%, 7%","HSB: 0, 0%, 7%","CSS: rgb(18, 18, 18)","Base Onyx Night"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Onyx Night","A deep, near-black used for primary typography and high-contrast UI elements.","onyx-night-4","#0A0A0A","Hex: #0A0A0A","RGB: 10, 10, 10","HSL: 0, 0%, 4%","HSB: 0, 0%, 4%","CSS: rgb(10, 10, 10)","Deep onyx variation"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Onyx Night","A deep, near-black used for primary typography and high-contrast UI elements.","onyx-night-5","#000000","Hex: #000000","RGB: 0, 0, 0","HSL: 0, 0%, 0%","HSB: 0, 0%, 0%","CSS: rgb(0, 0, 0)","Pure black variation"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Cotton Cloud","A warm, soft off-white designed for large background areas.","cotton-cloud-1","#FFFFFF","Hex: #FFFFFF","RGB: 255, 255, 255","HSL: 0, 0%, 100%","HSB: 0, 0%, 100%","CSS: rgb(255, 255, 255)","Pure white"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Cotton Cloud","A warm, soft off-white designed for large background areas.","cotton-cloud-2","#FAF8F2","Hex: #FAF8F2","RGB: 250, 248, 242","HSL: 45, 33%, 96%","HSB: 45, 3%, 98%","CSS: rgb(250, 248, 242)","Off-white highlight"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Cotton Cloud","A warm, soft off-white designed for large background areas.","cotton-cloud-3","#F5F1E6","Hex: #F5F1E6","RGB: 245, 241, 230","HSL: 44, 43%, 93%","HSB: 44, 6%, 96%","CSS: rgb(245, 241, 230)","Base Cotton Cloud"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Cotton Cloud","A warm, soft off-white designed for large background areas.","cotton-cloud-4","#EBE4D0","Hex: #EBE4D0","RGB: 235, 228, 208","HSL: 44, 41%, 87%","HSB: 44, 11%, 92%","CSS: rgb(235, 228, 208)","Shaded background"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Cotton Cloud","A warm, soft off-white designed for large background areas.","cotton-cloud-5","#DED4B6","Hex: #DED4B6","RGB: 222, 212, 182","HSL: 45, 38%, 79%","HSB: 45, 18%, 87%","CSS: rgb(222, 212, 182)","Deepest cream variation"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Electric Blue","Primary brand driver for buttons and icons.","electric-blue-1","#B3E0FF","Hex: #B3E0FF","RGB: 179, 224, 255","HSL: 205, 100%, 85%","HSB: 205, 30%, 100%","CSS: rgb(179, 224, 255)","Light blue wash"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Electric Blue","Primary brand driver for buttons and icons.","electric-blue-2","#4DB8FF","Hex: #4DB8FF","RGB: 77, 184, 255","HSL: 204, 100%, 65%","HSB: 204, 70%, 100%","CSS: rgb(77, 184, 255)","Soft blue accent"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Electric Blue","Primary brand driver for buttons and icons.","electric-blue-3","#0099FF","Hex: #0099FF","RGB: 0, 153, 255","HSL: 204, 100%, 50%","HSB: 204, 100%, 100%","CSS: rgb(0, 153, 255)","Base Electric Blue"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Electric Blue","Primary brand driver for buttons and icons.","electric-blue-4","#007ACC","Hex: #007ACC","RGB: 0, 122, 204","HSL: 204, 100%, 40%","HSB: 204, 100%, 80%","CSS: rgb(0, 122, 204)","Dark blue CTA"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Electric Blue","Primary brand driver for buttons and icons.","electric-blue-5","#005C99","Hex: #005C99","RGB: 0, 92, 153","HSL: 204, 100%, 30%","HSB: 204, 100%, 60%","CSS: rgb(0, 92, 153)","Deep blue shadow"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Bubblegum Pink","Vibrant secondary color for packaging and promotions.","bubblegum-pink-1","#FFC2D6","Hex: #FFC2D6","RGB: 255, 194, 214","HSL: 340, 100%, 88%","HSB: 340, 24%, 100%","CSS: rgb(255, 194, 214)","Pale pink"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Bubblegum Pink","Vibrant secondary color for packaging and promotions.","bubblegum-pink-2","#FF85AD","Hex: #FF85AD","RGB: 255, 133, 173","HSL: 340, 100%, 76%","HSB: 340, 48%, 100%","CSS: rgb(255, 133, 173)","Bright pink"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Bubblegum Pink","Vibrant secondary color for packaging and promotions.","bubblegum-pink-3","#F07197","Hex: #F07197","RGB: 240, 113, 151","HSL: 342, 81%, 69%","HSB: 342, 53%, 94%","CSS: rgb(240, 113, 151)","Base Bubblegum Pink"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Bubblegum Pink","Vibrant secondary color for packaging and promotions.","bubblegum-pink-4","#D64D77","Hex: #D64D77","RGB: 214, 77, 119","HSL: 342, 64%, 57%","HSB: 342, 64%, 84%","CSS: rgb(214, 77, 119)","Deep pink accent"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Bubblegum Pink","Vibrant secondary color for packaging and promotions.","bubblegum-pink-5","#A32E52","Hex: #A32E52","RGB: 163, 46, 82","HSL: 341, 56%, 41%","HSB: 341, 72%, 64%","CSS: rgb(163, 46, 82)","Dark magenta"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Sunny Citrus","Warm accent for badges and "New Arrival" tags.","sunny-citrus-1","#FFF2B3","Hex: #FFF2B3","RGB: 255, 242, 179","HSL: 50, 100%, 85%","HSB: 50, 30%, 100%","CSS: rgb(255, 242, 179)","Pale yellow"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Sunny Citrus","Warm accent for badges and "New Arrival" tags.","sunny-citrus-2","#FFE44D","Hex: #FFE44D","RGB: 255, 228, 77","HSL: 51, 100%, 65%","HSB: 51, 70%, 100%","CSS: rgb(255, 228, 77)","Bright yellow"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Sunny Citrus","Warm accent for badges and "New Arrival" tags.","sunny-citrus-3","#FFD600","Hex: #FFD600","RGB: 255, 214, 0","HSL: 50, 100%, 50%","HSB: 50, 100%, 100%","CSS: rgb(255, 214, 0)","Base Sunny Citrus"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Sunny Citrus","Warm accent for badges and "New Arrival" tags.","sunny-citrus-4","#CCAB00","Hex: #CCAB00","RGB: 204, 171, 0","HSL: 50, 100%, 40%","HSB: 50, 100%, 80%","CSS: rgb(204, 171, 0)","Gold yellow"
"Toyland Treats & Trends","Category: Fun & Vibrant","This palette is designed to spark joy and excitement, featuring high-contrast tones for toys and candy shops.","Sunny Citrus","Warm accent for badges and "New Arrival" tags.","sunny-citrus-5","#998000","Hex: #998000","RGB: 153, 128, 0","HSL: 50, 100%, 30%","HSB: 50, 100%, 60%","CSS: rgb(153, 128, 0)","Mustard yellow"
